symbol,company_name,sector
CIA,"Citizens, Inc. Class A Common Stock ($1.00 Par)",Financial Services
CIB,Grupo Cibest S.A. American Depositary Shares each representing four Preferred Shares,Financial Services
CICB,CION Investment Corporation 7.50% Notes due 2029,Unknown
CIEN,Ciena Corporation Common Stock,Technology
CIF,MFS Intermediate High Income Fund Common Stock,Financial Services
CIG,Comp En De Mn Cemig ADS American Depositary Shares,Utilities
CII,"BlackRock Enhanced Large Cap Core Fund, Inc. Common Stock",Financial Services
CIM,Chimera Investment Corporation Common Stock,Real Estate
CIMN,Chimera Investment Corporation 9.000% Senior Notes due 2029,Unknown
CIMO,Chimera Investment Corporation 9.250% Senior Notes due 2029,Unknown
CINT,CI&T Inc Class A Common Shares,Technology
CIO,"City Office REIT, Inc. Common Stock",Real Estate
CION,CION Investment Corporation Common Stock,Financial Services
CIVI,"Civitas Resources, Inc. Common Stock",Energy
CL,Colgate,Consumer Defensive
CLB,Core Laboratories Inc. Common Stock,Energy
CLBR,Colombier Acquisition Corp. II Class A Ordinary Shares,Unknown
CLCO,Cool Company Ltd. Common Shares,Energy
CLDT,Chatham Lodging Trust (REIT) Common Shares of Beneficial Interest,Real Estate
CLF,Cleveland,Basic Materials
CLH,"Clean Harbors, Inc. Common Stock",Industrials
CLPR,Clipper Realty Inc. Common Stock,Real Estate
CLS,"Celestica, Inc. Common Stock",Technology
CLVT,Clarivate Plc Ordinary Shares,Technology
CLW,Clearwater Paper Corporation Common Stock,Basic Materials
CLX,Clorox Company (The) Common Stock,Consumer Defensive
CM,Canadian Imperial Bank of Commerce Common Stock,Financial Services
CMA,Comerica Incorporated Common Stock,Financial Services
CMBT,CMB.TECH NV Ordinary Shares,Energy
CMC,Commercial Metals Company Common Stock,Basic Materials
CMCM,"Cheetah Mobile Inc. American Depositary Shares, each representing fifty (50) Class A Ordinary Shares",Communication Services
CMDB,Costamare Bulkers Holdings Limited Common Stock,Industrials
CMG,"Chipotle Mexican Grill, Inc. Common Stock",Consumer Cyclical
CMI,Cummins Inc. Common Stock,Industrials
CMP,Compass Minerals Intl Inc Common Stock,Basic Materials
CMRE,Costamare Inc. Common Stock $0.0001 par value,Industrials
CMS,CMS Energy Corporation Common Stock,Utilities
CMSA,CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078,Unknown
CMSC,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2078,Unknown
CMSD,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079,Unknown
CMTG,"Claros Mortgage Trust, Inc. Common Stock",Real Estate
CMU,MFS Municipal Income Trust Common Stock,Financial Services
CNA,CNA Financial Corporation Common Stock,Financial Services
CNC,Centene Corporation Common Stock,Healthcare
CNF,"CNFinance Holdings Limited American Depositary Shares, each representing  twenty (20) Ordinary Shares",Financial Services
CNH,CNH Industrial N.V. Common Shares,Industrials
CNI,Canadian National Railway Company Common Stock,Industrials
CNK,"Cinemark Holdings Inc Cinemark Holdings, Inc. Common Stock",Communication Services
CNM,"Core & Main, Inc. Class A Common Stock",Industrials
CNMD,CONMED Corporation Common Stock,Healthcare
CNNE,"Cannae Holdings, Inc. Common Stock",Consumer Cyclical
CNO,"CNO Financial Group, Inc. Common Stock",Financial Services
CNP,"CenterPoint Energy, Inc (Holding Co) Common Stock",Utilities
CNQ,Canadian Natural Resources Limited Common Stock,Energy
CNR,"Core Natural Resources, Inc. Common Stock",Energy
CNS,Cohen & Steers Inc Common Stock,Financial Services
CNX,CNX Resources Corporation Common Stock,Energy
CODI,D/B/A Compass Diversified Holdings Shares of Beneficial Interest,Industrials
COF,Capital One Financial Corporation Common Stock,Financial Services
COHR,Coherent Corp. Common Stock,Technology
COLD,"Americold Realty Trust, Inc. Common Stock",Real Estate
COMP,"Compass, Inc. Class A Common Stock",Real Estate
CON,"Concentra Group Holdings Parent, Inc. Common Stock",Healthcare
COOK,"Traeger, Inc. Common Stock",Consumer Cyclical
COP,ConocoPhillips Common Stock,Energy
COPL,Copley Acquisition Corp Ordinary Shares,Unknown
COR,"Cencora, Inc. Common Stock",Healthcare
COTY,Coty Inc. Class A Common Stock,Consumer Defensive
COUR,"Coursera, Inc. Common Stock",Consumer Defensive
CP,Canadian Pacific Kansas City Limited Common Shares,Industrials
CPA,"Copa Holdings, S.A. Class A Common Stock",Industrials
CPAC,Cementos Pacasmayo S.A.A. American Depositary Shares (Each representing five Common Shares),Basic Materials
CPAI,Northern Lights Fund Trust III Counterpoint Quantitative Equity ETF,Unknown
CPAY,"Corpay, Inc. Common Stock",Technology
CPF,Central Pacific Financial Corp New,Financial Services
CPK,Chesapeake Utilities Corporation Common Stock,Utilities
CPNG,"Coupang, Inc. Class A Common Stock",Consumer Cyclical
CPRI,Capri Holdings Limited Ordinary Shares,Consumer Cyclical
CPS,Cooper,Consumer Cyclical
CPT,Camden Property Trust Common Stock,Real Estate
CQP,"Cheniere Energy Partners, LP Common Units",Energy
CR,Crane Company Common Stock,Industrials
CRBD,Corebridge Financial Inc. 6.375% Junior Subordinated Notes due 2064,Unknown
CRBG,Corebridge Financial Inc. Common Stock,Financial Services
CRC,California Resources Corporation Common Stock,Energy
CRCL,"Circle Internet Group, Inc. Class A Common Stock",Financial Services
CRGY,Crescent Energy Company Class A Common Stock,Energy
CRH,CRH PLC Ordinary Shares,Basic Materials
CRI,"Carter's, Inc. Common Stock",Consumer Cyclical
CRK,"Comstock Resources, Inc. Common Stock",Energy
CRL,"Charles River Laboratories International, Inc. Common Stock",Healthcare
CRM,"Salesforce, Inc. Common Stock",Technology
CRS,Carpenter Technology Corporation Common Stock,Industrials
CRT,Cross Timbers Royalty Trust Common Stock,Energy
CSAN,Cosan S.A. ADS,Energy
CSL,Carlisle Companies Incorporated Common Stock,Industrials
CSR,D/B/A Centerspace Common Stock,Real Estate
CSTM,Constellium SE Ordinary Shares (France),Basic Materials
CSV,"Carriage Services, Inc. Common Stock",Consumer Cyclical
CSW,"CSW Industrials, Inc. Common Stock",Industrials
CTBB,Qwest Corporation 6.5% Notes due 2056,Unknown
CTDD,Qwest Corporation 6.75% Notes due 2057,Unknown
CTEV,Claritev Corporation Class A Common Stock,Healthcare
CTO,"CTO Realty Growth, Inc. Common Stock",Real Estate
CTOS,"Custom Truck One Source, Inc. Common Stock",Industrials
CTRA,Coterra Energy Inc. Common Stock,Energy
CTRE,"CareTrust REIT, Inc. Common Stock",Real Estate
CTRI,"Centuri Holdings, Inc. Common Stock",Utilities
CTS,CTS Corporation Common Stock,Technology
CTVA,"Corteva, Inc. Common Stock ",Basic Materials
CUBB,"Customers Bancorp, Inc 5.375% Subordinated Notes Due 2034",Unknown
CUBE,CubeSmart Common Shares,Real Estate
CUBI,"Customers Bancorp, Inc Common Stock",Financial Services
CUK,Carnival Plc ADS ADS,Consumer Cyclical
CULP,"Culp, Inc. Common Stock",Consumer Cyclical
CURB,Curbline Properties Corp. Common Stock,Real Estate
CURV,Torrid Holdings Inc. Common Stock,Consumer Cyclical
CUZ,Cousins Properties Incorporated Common Stock,Real Estate
CVE,Cenovus Energy Inc Common Stock,Energy
CVEO,Civeo Corporation (Canada) Common Shares,Consumer Cyclical
CVI,CVR Energy Inc. Common Stock,Energy
CVLG,"Covenant Logistics Group, Inc. Class A Common Stock",Industrials
CVNA,Carvana Co. Class A Common Stock,Consumer Cyclical
CVS,CVS Health Corporation Common Stock,Healthcare
CVX,Chevron Corporation Common Stock,Energy
CW,Curtiss,Industrials
CWAN,"Clearwater Analytics Holdings, Inc. Class A Common Stock",Technology
CWEN,"Clearway Energy, Inc. Class C Common Stock",Utilities
CWH,"Camping World Holdings, Inc. Class A Common Stock",Consumer Cyclical
CWK,Cushman & Wakefield plc Ordinary Shares,Real Estate
CWT,California Water Service Group Common Stock,Utilities
CX,"Cemex, S.A.B. de C.V. Sponsored ADR",Basic Materials
CXE,MFS High Income Municipal Trust Common Stock,Financial Services
CXH,MFS Investment Grade Municipal Trust Common Stock,Financial Services
CXM,"Sprinklr, Inc. Class A Common Stock",Technology
CXT,"Crane NXT, Co. Common Stock",Industrials
CXW,"CoreCivic, Inc. Common Stock",Industrials
CYD,China Yuchai International Limited Common Stock,Consumer Cyclical
CYH,"Community Health Systems, Inc. Common Stock",Healthcare
D,"Dominion Energy, Inc. Common Stock",Utilities
DAC,Danaos Corporation Common Stock,Industrials
DAL,"Delta Air Lines, Inc. Common Stock",Industrials
DAN,Dana Incorporated Common Stock ,Consumer Cyclical
DAO,"Youdao, Inc. American Depositary Shares, each representing one Class A Ordinary Share",Consumer Defensive
DAR,Darling Ingredients Inc. Common Stock,Consumer Defensive
DAVA,Endava plc American Depositary Shares (each representing one Class A Ordinary Share),Technology
DAY,"Dayforce, Inc. Common Stock",Technology
DB,Deutsche Bank AG Common Stock,Financial Services
DBD,Diebold Nixdorf Incorporated Common stock,Technology
DBI,Designer Brands Inc. Class A Common Stock,Consumer Cyclical
DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,Financial Services
DBRG,"DigitalBridge Group, Inc.",Financial Services
DCI,"Donaldson Company, Inc. Common Stock",Industrials
DCO,Ducommun Incorporated Common Stock,Industrials
DD,"DuPont de Nemours, Inc. Common Stock",Basic Materials
DDD,3D Systems Corporation Common Stock,Technology
DDL,Dingdong (Cayman) Limited American Depositary Shares (each two representing three Ordinary Shares),Consumer Defensive
DDS,"Dillard's, Inc. Common Stock",Consumer Cyclical
DDT,Dillard's Capital Trust I,Unknown
DE,Deere & Company Common Stock,Industrials
DEA,"Easterly Government Properties, Inc. Common Stock",Real Estate
DEC,Diversified Energy Company plc Ordinary Shares,Energy
DECK,Deckers Outdoor Corporation Common Stock,Consumer Cyclical
DEI,"Douglas Emmett, Inc. Common Stock",Real Estate
DELL,Dell Technologies Inc. Class C Common Stock ,Technology
DEO,Diageo plc Common Stock,Consumer Defensive
DFH,"Dream Finders Homes, Inc. Class A Common Stock",Consumer Cyclical
DFIN,"Donnelley Financial Solutions, Inc. Common Stock ",Technology
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock,Financial Services
DG,Dollar General Corporation Common Stock,Consumer Defensive
DGX,Quest Diagnostics Incorporated Common Stock,Healthcare
DHF,BNY Mellon High Yield Strategies Fund Common Stock,Financial Services
DHI,"D.R. Horton, Inc. Common Stock",Consumer Cyclical
DHR,Danaher Corporation Common Stock,Healthcare
DHT,"DHT Holdings, Inc.",Energy
DHX,"DHI Group, Inc. Common Stock",Technology
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund Common Shares of Beneficial Interest,Financial Services
DIN,"Dine Brands Global, Inc. Common Stock",Consumer Cyclical
DINO,HF Sinclair Corporation Common Stock,Energy
DIS,Walt Disney Company (The) Common Stock,Communication Services
DIVY,Sound Equity Dividend Income ETF,Unknown
DK,"Delek US Holdings, Inc. Common Stock",Energy
DKL,"Delek Logistics Partners, L.P. Common Units representing Limited Partner Interests",Energy
DKS,Dick's Sporting Goods Inc Common Stock,Consumer Cyclical
DLB,Dolby Laboratories Common Stock,Industrials
DLNG,Dynagas LNG Partners LP Common Units,Energy
DLR,"Digital Realty Trust, Inc. Common Stock",Real Estate
DLX,Deluxe Corporation Common Stock,Industrials
DLY,DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest,Financial Services
DMA,Destra Multi,Financial Services
DMB,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. Common Stock",Financial Services
DMO,Western Asset Mortgage Opportunity Fund Inc. Common Stock,Financial Services
DNA,"Ginkgo Bioworks Holdings, Inc. Class A Common Stock",Healthcare
DNB,"Dun & Bradstreet Holdings, Inc. Common Stock",Financial Services
DNOW,DNOW Inc. Common Stock,Industrials
DNP,"DNP Select Income Fund, Inc. Common Stock",Financial Services
DOC,"Healthpeak Properties, Inc. Common Stock",Real Estate
DOCN,"DigitalOcean Holdings, Inc. Common Stock",Technology
DOCS,"Doximity, Inc. Class A Common Stock",Healthcare
DOLE,Dole plc Ordinary Shares,Consumer Defensive
DOUG,Douglas Elliman Inc. Common Stock,Real Estate
DOV,Dover Corporation Common Stock,Industrials
DOW,Dow Inc. Common Stock ,Basic Materials
DPG,Duff & Phelps Utility and Infrastructure Fund Inc.,Financial Services
DQ,"DAQO New Energy Corp. American Depositary Shares, each representing five ordinary shares",Technology
DRD,DRDGOLD Limited American Depositary Shares,Basic Materials
DRH,Diamondrock Hospitality Company Common Stock,Real Estate
DRI,"Darden Restaurants, Inc. Common Stock",Consumer Cyclical
DRLL,EA Series Trust Strive U.S. Energy ETF,Unknown
DSL,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,Financial Services
DSM,"BNY Mellon Strategic Municipal Bond Fund, Inc. Common Stock",Financial Services
DSMC,ETF Series Solutions Distillate Small/Mid Cash Flow ETF,Unknown
DSTX,Distillate International Fundamental Stability & Value ETF,Unknown
DSU,"Blackrock Debt Strategies Fund, Inc. Common Stock",Financial Services
DSX,Diana Shipping inc. common stock,Industrials
DT,"Dynatrace, Inc. Common Stock",Technology
DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,Unknown
DTE,DTE Energy Company Common Stock,Utilities
DTF,DTF Tax,Financial Services
DTG,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,Unknown
DTM,"DT Midstream, Inc. Common Stock ",Energy
DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,Unknown
DUK,Duke Energy Corporation (Holding Company) Common Stock,Utilities
DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,Unknown
DV,"DoubleVerify Holdings, Inc. Common Stock",Technology
DVA,DaVita Inc. Common Stock,Healthcare
DVN,Devon Energy Corporation Common Stock,Energy
DX,"Dynex Capital, Inc. Common Stock",Real Estate
DXC,DXC Technology Company Common Stock ,Technology
DXYZ,Destiny Tech100 Inc. Common Stock,Financial Services
DY,"Dycom Industries, Inc. Common Stock",Industrials
E,ENI S.p.A. Common Stock,Energy
EAF,GrafTech International Ltd. Common Stock,Industrials
EAI,"Entergy Arkansas, LLC First Mortgage Bonds, 4.875% Series Due September 1, 2066",Unknown
EARN,Ellington Credit Company Common Shares of Beneficial Interest,Financial Services
EAT,"Brinker International, Inc. Common Stock",Consumer Cyclical
EB,"Eventbrite, Inc. Class A Common Stock",Communication Services
EBF,"Ennis, Inc. Common Stock",Industrials
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share),Utilities
EBS,Emergent BioSolutions Inc. Common Stock,Healthcare
EC,Ecopetrol S.A. American Depositary Shares,Energy
ECAT,BlackRock ESG Capital Allocation Term Trust Common Shares of Beneficial Interest,Financial Services
ECC,Eagle Point Credit Company Inc. Common Stock,Financial Services
ECCC,Eagle Point Credit Company Inc. 6.50% Series C Term Preferred Stock due 2031,Financial Services
ECCF,Eagle Point Credit Company Inc. 8.00% Series F Term Preferred Stock due 2029,Financial Services
ECCU,Eagle Point Credit Company Inc. 7.75% Notes due 2030,Unknown
ECCV,Eagle Point Credit Company Inc. 5.375% Notes due 2029,Unknown
ECCW,Eagle Point Credit Company Inc. 6.75% Notes due 2031,Unknown
ECCX,Eagle Point Credit Company Inc. 6.6875% Notes due 2028,Unknown
ECG,"Everus Construction Group, Inc. Common Stock",Industrials
ECL,Ecolab Inc. Common Stock,Basic Materials
ECO,Okeanis Eco Tankers Corp. Common Stock,Industrials
ECVT,Ecovyst Inc. Common Stock,Basic Materials
ED,"Consolidated Edison, Inc. Common Stock",Utilities
EDD,"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc. Common Stock",Financial Services
EDF,Virtus Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest,Financial Services
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,Utilities
EDU,"New Oriental Education & Technology Group, Inc. Sponsored ADR representing 10 Ordinary Share (Cayman Islands)",Consumer Defensive
EE,"Excelerate Energy, Inc. Class A Common Stock",Energy
EEA,"The European Equity Fund, Inc. Common Stock",Financial Services
EEX,"Emerald Holding, Inc. Common Stock",Communication Services
EFC,Ellington Financial Inc. Common Stock ,Real Estate
EFR,Eaton Vance Senior Floating,Financial Services
EFT,Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,Financial Services
EFX,"Equifax, Inc. Common Stock",Industrials
EFXT,Enerflex Ltd Common Shares,Energy
EG,"Everest Group, Ltd. Common Stock",Financial Services
EGO,Eldorado Gold Corporation Ordinary Shares,Basic Materials
EGP,"EastGroup Properties, Inc. Common Stock",Real Estate
EGY,"VAALCO Energy, Inc.  Common Stock",Energy
EHAB,"Enhabit, Inc. Common Stock",Healthcare
EHC,Encompass Health Corporation Common Stock,Healthcare
EHI,Western Asset Global High Income Fund Inc Common Stock,Financial Services
EIC,Eagle Point Income Company Inc. Common Stock,Financial Services
EICA,Eagle Point Income Company Inc. 5.00% Series A Term Preferred Stock due 2026,Financial Services
EICB,Eagle Point Income Company Inc. 7.75% Series B Term Preferred Stock Due 2028,Financial Services
EICC,Eagle Point Income Company Inc. 8.00% Series C Term Preferred Stock due 2029,Financial Services
EIG,Employers Holdings Inc Common Stock,Financial Services
EIIA,Eagle Point Institutional Income Fund 8.125% Series A Term Preferred Shares Due 2029,Financial Services
EIX,Edison International Common Stock,Utilities
EL,"Estee Lauder Companies, Inc. (The) Common Stock",Consumer Defensive
ELAN,Elanco Animal Health Incorporated Common Stock,Healthcare
ELC,"Entergy Louisiana, Inc. Collateral Trust Mortgage Bonds, 4.875 % Series due September 1, 2066",Unknown
ELF,"e.l.f. Beauty, Inc. Common Stock",Consumer Defensive
ELME,Elme Communities Common Stock,Real Estate
ELP,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non,Utilities
ELPC,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing four (4) Common Shares),Utilities
ELS,"Equity Lifestyle Properties, Inc. Common Stock",Real Estate
ELV,"Elevance Health, Inc. Common Stock",Healthcare
EMA,Emera Incorporated Common Shares,Utilities
EMD,Western Asset Emerging Markets Debt Fund Inc Common Stock,Financial Services
EME,"EMCOR Group, Inc. Common Stock",Industrials
EMF,Templeton Emerging Markets Fund Common Stock,Financial Services
EMN,Eastman Chemical Company Common Stock,Basic Materials
EMO,ClearBridge Energy Midstream Opportunity Fund Inc. Common Stock,Financial Services
EMP,"Entergy Mississippi, LLC First Mortgage Bonds, 4.90% Series Due October 1, 2066",Unknown
EMR,Emerson Electric Company Common Stock,Industrials
ENB,Enbridge Inc Common Stock,Energy
ENFY,Enlightify Inc. Common Stock,Basic Materials
ENIC,Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock),Utilities
ENJ,"Entergy New Orleans, LLC First Mortgage Bonds, 5.0% Series due December 1, 2052",Unknown
ENO,"Entergy New Orleans, LLC First Mortgage Bonds, 5.50% Series due April 1, 2066",Unknown
ENOV,Enovis Corporation Common Stock,Healthcare
ENR,"Energizer Holdings, Inc. Common Stock",Industrials
ENS,EnerSys Common Stock,Industrials
ENVA,"Enova International, Inc. Common Stock",Financial Services
EOD,Allspring Global Dividend Opportunity Fund Common Shares of Beneficial Interest,Financial Services
EOG,"EOG Resources, Inc. Common Stock",Energy
EOI,Eaton Vance Enhance Equity Income Fund Eaton Vance Enhanced Equity Income Fund Shares of Beneficial Interest,Financial Services
EOS,Eaton Vance Enhance Equity Income Fund II Common Stock,Financial Services
EOT,Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST,Financial Services
EPAC,Enerpac Tool Group Corp. Common Stock,Industrials
EPAM,"EPAM Systems, Inc. Common Stock",Technology
EPC,Edgewell Personal Care Company Common Stock,Consumer Defensive
EPD,Enterprise Products Partners L.P. Common Stock,Energy
EPR,EPR Properties Common Stock,Real Estate
EPRT,"Essential Properties Realty Trust, Inc. Common Stock",Real Estate
EQBK,"Equity Bancshares, Inc. Class A Common Stock",Financial Services
EQH,"Equitable Holdings, Inc. Common Stock",Financial Services
EQNR,Equinor ASA,Energy
EQR,Equity Residential Common Shares of Beneficial Interest,Real Estate
EQS,"Equus Total Return, Inc. Common Stock",Financial Services
EQT,EQT Corporation Common Stock,Energy
EQV,EQV Ventures Acquisition Corp. Class A Ordinary Shares,Financial Services
ERJ,Embraer S.A. Common Stock,Industrials
ERO,Ero Copper Corp. Common Shares,Basic Materials
ES,Eversource Energy (D/B/A) Common Stock,Utilities
ESAB,ESAB Corporation Common Stock,Industrials
ESE,ESCO Technologies Inc. Common Stock,Technology
ESI,Element Solutions Inc. Common Stock,Basic Materials
ESNT,Essent Group Ltd. Common Shares,Financial Services
ESRT,"Empire State Realty Trust, Inc. Class A Common Stock",Real Estate
ESS,"Essex Property Trust, Inc. Common Stock",Real Estate
ESTC,Elastic N.V. Ordinary Shares,Technology
ET,Energy Transfer LP Common Units ,Energy
ETB,Eaton Vance Tax,Financial Services
ETD,Ethan Allen Interiors Inc. Common Stock,Consumer Cyclical
ETG,Eaton Vance Tax,Financial Services
ETJ,Eaton Vance Risk,Financial Services
ETN,"Eaton Corporation, PLC Ordinary Shares",Industrials
ETO,Eaton Vance Tax,Financial Services
ETR,Entergy Corporation Common Stock,Utilities
ETV,Eaton Vance Corporation Eaton Vance Tax,Financial Services
ETW,Eaton Vance Corporation Eaton Vance Tax,Financial Services
ETWO,"E2open Parent Holdings, Inc.Class A Common Stock",Technology
ETX,Eaton Vance Municipal Income 2028 Term Trust Common Shares of Beneficial Interest,Financial Services
ETY,Eaton Vance Tax,Financial Services
EVC,Entravision Communications Corporation Common Stock,Communication Services
EVEX,"Eve Holding, Inc. Common Stock",Industrials
EVF,Eaton Vance Senior Income Trust Common Stock,Financial Services
EVG,Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund Common Shares of Beneficial Interest,Financial Services
EVH,"Evolent Health, Inc Class A Common Stock",Healthcare
EVN,Eaton Vance Municipal Income Trust Common Stock,Financial Services
EVR,Evercore Inc. Class A Common Stock,Financial Services
EVRI,Everi Holdings Inc. Common Stock,Consumer Cyclical
EVT,Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,Financial Services
EVTC,"Evertec, Inc. Common Stock",Technology
EVTL,Vertical Aerospace Ltd. Ordinary Shares,Industrials
EVTR,Morgan Stanley ETF Trust Eaton Vance Total Return Bond ETF,Unknown
EW,Edwards Lifesciences Corporation Common Stock,Healthcare
EXG,Eaton Vance Tax,Financial Services
EXK,Endeavour Silver Corporation Ordinary Shares (Canada),Basic Materials
EXP,Eagle Materials Inc Common Stock,Basic Materials
EXPD,"Expeditors International of Washington, Inc. Common Stock",Industrials
EXR,Extra Space Storage Inc Common Stock,Real Estate
F,Ford Motor Company Common Stock,Consumer Cyclical
FAF,First American Corporation (New) Common Stock,Financial Services
FBIN,"Fortune Brands Innovations, Inc. Common Stock",Industrials
FBK,FB Financial Corporation Common Stock,Financial Services
FBP,First BanCorp. New Common Stock,Financial Services
FBRT,"Franklin BSP Realty Trust, Inc. Common Stock",Real Estate
FC,Franklin Covey Company Common Stock,Consumer Defensive
FCF,First Commonwealth Financial Corporation Common Stock,Financial Services
FCN,"FTI Consulting, Inc. Common Stock",Industrials
FCPT,"Four Corners Property Trust, Inc. Common Stock",Real Estate
FCRX,"Crescent Capital BDC, Inc. 5.00% Notes due 2026",Unknown
FCT,First Trust Senior Floating Rate Income Fund II Common Shares of Beneficial Interest,Financial Services
FCX,Freeport,Basic Materials
FDP,"Fresh Del Monte Produce, Inc. Common Stock",Consumer Defensive
FDS,FactSet Research Systems Inc. Common Stock,Financial Services
FDX,FedEx Corporation Common Stock,Industrials
FE,FirstEnergy Corp. Common Stock,Utilities
FEDU,"Four Seasons Education (Cayman) Inc. American Depositary Shares, each ADS representing 10 ordinary shares",Consumer Defensive
FEGE,The RBB Fund Trust First Eagle Global Equity ETF,Unknown
FENG,"Phoenix New Media Limited American Depositary Shares, each representing 48 Class A ordinary shares.",Communication Services
FEOE,The RBB Fund Trust First Eagle Overseas Equity ETF,Unknown
FERG,Ferguson Enterprises Inc. Common Stock,Industrials
FET,"Forum Energy Technologies, Inc. Common Stock",Energy
FF,FutureFuel Corp.  Common shares,Basic Materials
FFA,First Trust Enhanced Equity Income Fund,Financial Services
FFC,Flaherty & Crumrine Preferred and Income Securities Fund Incorporated,Financial Services
FFWM,First Foundation Inc. Common Stock,Financial Services
FG,"F&G Annuities & Life, Inc. Common Stock",Financial Services
FGB,First Trust Specialty Finance and Financial Opportunities Fund,Financial Services
FGN,"F&G Annuities & Life, Inc. 7.950% Senior Notes due 2053",Unknown
FGSN,"F&G Annuities & Life, Inc. 7.300% Junior Subordinated Notes due 2065",Unknown
FHI,"Federated Hermes, Inc. Common Stock",Financial Services
FHN,First Horizon Corporation Common Stock,Financial Services
FI,"Fiserv, Inc. Common Stock",Technology
FICO,Fair Isaac Corporation Common Stock,Technology
FIGS,"FIGS, Inc. Class A Common Stock",Consumer Cyclical
FIHL,Fidelis Insurance Holdings Limited Common Shares,Financial Services
FINS,Angel Oak Financial Strategies Income Term Trust Common Shares of Beneficial Interest,Financial Services
FINV,FinVolution Group American Depositary Shares,Financial Services
FIS,"Fidelity National Information Services, Inc. Common Stock",Technology
FIX,"Comfort Systems USA, Inc. Common Stock",Industrials
FL,"Foot Locker, Inc.",Consumer Cyclical
FLC,Flaherty & Crumrine Total Return Fund Inc Common Stock,Financial Services
FLG,"Flagstar Financial, Inc. Common Stock",Financial Services
FLNG,FLEX LNG Ltd. Ordinary Shares,Energy
FLO,"Flowers Foods, Inc. Common Stock",Consumer Defensive
FLOC,Flowco Holdings Inc. Class A Common Stock,Energy
FLR,Fluor Corporation Common Stock,Industrials
FLS,Flowserve Corporation Common Stock,Industrials
FLUT,Flutter Entertainment plc Ordinary Shares,Consumer Cyclical
FLXR,TCW Flexible Income ETF,Unknown
FMC,FMC Corporation Common Stock,Basic Materials
FMN,Federated Hermes Premier Municipal Income Fund,Financial Services
FMS,Fresenius Medical Care AG American Depositary Shares (Each representing 1/2 of an Ordinary Share),Healthcare
FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock,Consumer Defensive
FMY,First Trust Motgage Income Fund Common Shares of Beneficial Interest,Financial Services
FN,Fabrinet Ordinary Shares,Technology
FNB,F.N.B. Corporation Common Stock,Financial Services
FND,"Floor & Decor Holdings, Inc. Common Stock",Consumer Cyclical
FNF,"FNF Group of Fidelity National Financial, Inc. Common Stock",Financial Services
FNV,Franco,Basic Materials
FOA,Finance of America Companies Inc. Class A Common Stock,Financial Services
FOF,Cohen & Steers Closed,Financial Services
FOR,Forestar Group Inc Common Stock ,Real Estate
FOUR,"Shift4 Payments, Inc. Class A Common Stock",Technology
FPF,First Trust Intermediate Duration Preferred & Income Fund Common Shares of Beneficial Interest,Financial Services
FPH,"Five Point Holdings, LLC Class A Common Shares",Real Estate
FPI,Farmland Partners Inc. Common Stock,Real Estate
FR,"First Industrial Realty Trust, Inc. Common Stock",Real Estate
FRA,Blackrock Floating Rate Income Strategies Fund Inc  Common Stock,Financial Services
FRGE,"Forge Global Holdings, Inc. Common Stock",Financial Services
FRO,Frontline Plc Ordinary Shares,Energy
FRT,Federal Realty Investment Trust Common Stock,Real Estate
FSCO,FS Credit Opportunities Corp. Common Stock,Financial Services
FSK,FS KKR Capital Corp. Common Stock,Financial Services
FSLY,"Fastly, Inc. Class A Common Stock",Technology
FSM,Fortuna Mining Corp. Common Shares,Basic Materials
FSS,Federal Signal Corporation Common Stock,Industrials
FT,Franklin Universal Trust Common Stock,Financial Services
FTHY,First Trust High Yield Opportunities 2027 Term Fund Common Stock,Financial Services
FTI,TechnipFMC plc Ordinary Share,Energy
FTK,"Flotek Industries, Inc. Common Stock",Energy
